latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
19.47442,-154.84087,367,0.57,0.69,8/1/18,18,N,high,1.0NRT,294.4,38.5,D
19.46882,-154.90581,367,0.56,0.69,8/1/18,18,N,high,1.0NRT,338,307.5,D
19.46782,-154.91737,340.5,0.56,0.69,8/1/18,18,N,nominal,1.0NRT,287.5,16.3,D
19.46732,-154.92317,329.6,0.56,0.69,8/1/18,18,N,nominal,1.0NRT,288.5,16.3,D
19.47491,-154.83521,367,0.57,0.69,8/1/18,18,N,low,1.0NRT,285.8,38.5,D
19.46981,-154.89436,367,0.56,0.69,8/1/18,18,N,low,1.0NRT,285.8,488.3,D
19.46931,-154.9001,367,0.56,0.69,8/1/18,18,N,low,1.0NRT,290.5,488.3,D
19.48283,-154.81865,367,0.57,0.69,8/1/18,18,N,high,1.0NRT,293.6,41,D
19.48184,-154.83012,367,0.57,0.69,8/1/18,18,N,high,1.0NRT,293.7,53.1,D
19.48135,-154.83583,367,0.57,0.69,8/1/18,18,N,high,1.0NRT,303.5,38.5,D
19.47623,-154.89496,367,0.56,0.69,8/1/18,18,N,high,1.0NRT,349.3,488.3,D
19.47574,-154.90067,367,0.56,0.69,8/1/18,18,N,high,1.0NRT,346.3,488.3,D
19.47474,-154.91212,353.4,0.56,0.69,8/1/18,18,N,nominal,1.0NRT,291.5,307.5,D
19.47425,-154.91785,334,0.56,0.69,8/1/18,18,N,nominal,1.0NRT,289.7,16.3,D
19.48234,-154.82437,367,0.57,0.69,8/1/18,18,N,low,1.0NRT,290.5,53.1,D
19.48086,-154.84149,367,0.57,0.69,8/1/18,18,N,low,1.0NRT,289.1,38.5,D
19.47879,-154.86548,367,0.57,0.69,8/1/18,18,N,low,1.0NRT,281.5,35.6,D
19.47827,-154.87148,367,0.57,0.69,8/1/18,18,N,low,1.0NRT,284.3,28.8,D
19.47774,-154.87758,367,0.57,0.69,8/1/18,18,N,low,1.0NRT,284.4,28.8,D
19.47722,-154.88358,367,0.57,0.69,8/1/18,18,N,low,1.0NRT,283.6,309.8,D
19.47672,-154.88937,367,0.57,0.69,8/1/18,18,N,low,1.0NRT,301,309.8,D
19.47524,-154.90636,208,0.56,0.69,8/1/18,18,N,low,1.0NRT,311.1,307.5,D
19.48879,-154.82503,367,0.57,0.69,8/1/18,18,N,high,1.0NRT,297.9,309.7,D
19.4878,-154.83644,367,0.57,0.69,8/1/18,18,N,high,1.0NRT,346.4,548.5,D
19.4873,-154.84218,367,0.57,0.69,8/1/18,18,N,high,1.0NRT,326.9,548.5,D
19.48628,-154.85391,367,0.57,0.69,8/1/18,18,N,high,1.0NRT,291.4,112.3,D
19.48575,-154.86003,367,0.57,0.69,8/1/18,18,N,high,1.0NRT,291.2,48,D
19.48522,-154.8661,367,0.57,0.69,8/1/18,18,N,high,1.0NRT,290.6,48,D
19.4847,-154.8721,367,0.57,0.69,8/1/18,18,N,high,1.0NRT,291.2,311.7,D
19.48315,-154.88988,367,0.57,0.69,8/1/18,18,N,high,1.0NRT,346.3,591.2,D
19.48217,-154.90117,367,0.56,0.69,8/1/18,18,N,high,1.0NRT,290.8,126.7,D
19.48679,-154.84804,353.5,0.57,0.69,8/1/18,18,N,nominal,1.0NRT,291.2,112.3,D
19.48417,-154.8782,355.7,0.57,0.69,8/1/18,18,N,nominal,1.0NRT,291.5,311.7,D
19.48366,-154.88411,353.6,0.57,0.69,8/1/18,18,N,nominal,1.0NRT,310.4,591.2,D
19.48167,-154.90689,342.6,0.56,0.69,8/1/18,18,N,nominal,1.0NRT,290,5,D
19.48118,-154.9126,331.5,0.56,0.69,8/1/18,18,N,nominal,1.0NRT,289.4,5,D
19.48267,-154.89545,208,0.56,0.69,8/1/18,18,N,low,1.0NRT,302.3,126.7,D
19.49524,-154.82564,367,0.57,0.69,8/1/18,18,N,high,1.0NRT,296.9,309.7,D
19.49475,-154.83131,367,0.57,0.69,8/1/18,18,N,high,1.0NRT,301.4,309.7,D
19.49423,-154.83725,367,0.57,0.69,8/1/18,18,N,high,1.0NRT,338.3,548.5,D
19.49374,-154.84294,367,0.57,0.69,8/1/18,18,N,high,1.0NRT,348.8,548.5,D
19.49272,-154.85463,367,0.57,0.69,8/1/18,18,N,high,1.0NRT,297.5,112.3,D
19.49218,-154.86073,367,0.57,0.69,8/1/18,18,N,high,1.0NRT,293.8,48,D
19.49167,-154.86665,367,0.57,0.69,8/1/18,18,N,high,1.0NRT,293.9,48,D
19.49114,-154.87263,367,0.57,0.69,8/1/18,18,N,high,1.0NRT,298.2,311.7,D
19.49062,-154.87859,367,0.57,0.69,8/1/18,18,N,high,1.0NRT,326.8,311.7,D
19.49012,-154.8844,367,0.57,0.69,8/1/18,18,N,high,1.0NRT,328.4,591.2,D
19.49673,-154.80852,334.5,0.57,0.69,8/1/18,18,N,nominal,1.0NRT,294.8,19.5,D
19.48911,-154.89586,345.3,0.56,0.69,8/1/18,18,N,nominal,1.0NRT,291.4,126.7,D
19.48861,-154.90158,334.2,0.56,0.69,8/1/18,18,N,nominal,1.0NRT,290.1,126.7,D
19.48812,-154.90718,331.4,0.56,0.69,8/1/18,18,N,nominal,1.0NRT,289.4,5,D
19.48763,-154.91278,329.8,0.56,0.69,8/1/18,18,N,nominal,1.0NRT,289,5,D
19.49323,-154.84868,208,0.57,0.69,8/1/18,18,N,low,1.0NRT,302.9,112.3,D
19.48961,-154.89015,208,0.57,0.69,8/1/18,18,N,low,1.0NRT,297.1,591.2,D
19.50067,-154.83794,367,0.57,0.69,8/1/18,18,N,high,1.0NRT,296.5,247.9,D
19.50018,-154.84366,367,0.57,0.69,8/1/18,18,N,high,1.0NRT,308,247.9,D
19.49863,-154.86128,367,0.57,0.69,8/1/18,18,N,high,1.0NRT,296.9,343.8,D
19.50319,-154.8091,329.2,0.57,0.69,8/1/18,18,N,nominal,1.0NRT,293.8,12.5,D
19.49916,-154.85527,351.2,0.57,0.69,8/1/18,18,N,nominal,1.0NRT,298.4,535.9,D
19.49658,-154.8846,338.6,0.57,0.69,8/1/18,18,N,nominal,1.0NRT,294.3,70.9,D
19.49608,-154.89032,338.6,0.57,0.69,8/1/18,18,N,nominal,1.0NRT,290.7,70.9,D
19.49459,-154.90732,329.6,0.56,0.69,8/1/18,18,N,nominal,1.0NRT,289,9.7,D
19.49967,-154.84941,208,0.57,0.69,8/1/18,18,N,low,1.0NRT,322.4,535.9,D
19.49811,-154.86723,208,0.57,0.69,8/1/18,18,N,low,1.0NRT,319.8,343.8,D
19.49759,-154.87308,208,0.57,0.69,8/1/18,18,N,low,1.0NRT,322.3,289.9,D
19.49709,-154.87885,208,0.57,0.69,8/1/18,18,N,low,1.0NRT,317.4,289.9,D
19.50661,-154.84436,367,0.57,0.69,8/1/18,18,N,high,1.0NRT,297.1,247.9,D
19.50405,-154.87346,347,0.57,0.69,8/1/18,18,N,nominal,1.0NRT,292.1,289.9,D
19.50354,-154.87918,335.9,0.57,0.69,8/1/18,18,N,nominal,1.0NRT,292.4,289.9,D
19.50304,-154.88487,331.5,0.57,0.69,8/1/18,18,N,nominal,1.0NRT,292.9,70.9,D
19.5056,-154.8559,208,0.57,0.69,8/1/18,18,N,low,1.0NRT,323.5,535.9,D
19.50507,-154.86182,208,0.57,0.69,8/1/18,18,N,low,1.0NRT,310.8,343.8,D
19.50456,-154.86768,208,0.57,0.69,8/1/18,18,N,low,1.0NRT,295.8,343.8,D
48.18833,-64.922,299.8,0.53,0.42,8/1/18,554,N,nominal,1.0NRT,289.4,0.8,N
46.37074,-72.38881,300,0.37,0.58,8/1/18,554,N,nominal,1.0NRT,287.4,0.5,N
46.04324,-73.1428,300.7,0.4,0.6,8/1/18,554,N,nominal,1.0NRT,287.9,1.5,N
18.92691,-70.35428,309.4,0.45,0.39,8/1/18,606,N,nominal,1.0NRT,289.5,2.2,N
18.92895,-70.35633,303.3,0.45,0.39,8/1/18,606,N,nominal,1.0NRT,289.4,0.9,N
18.92833,-70.35202,302.2,0.45,0.39,8/1/18,606,N,nominal,1.0NRT,288.8,0.9,N
18.92474,-70.35243,305.3,0.45,0.39,8/1/18,606,N,nominal,1.0NRT,289.4,0.9,N
18.50866,-69.33938,306,0.41,0.37,8/1/18,606,N,nominal,1.0NRT,294,1.1,N
18.4701,-69.19567,309.3,0.41,0.37,8/1/18,606,N,nominal,1.0NRT,294.2,1,N
17.97655,-77.00821,323,0.36,0.58,8/1/18,606,N,nominal,1.0NRT,290.5,1.5,N
34.13369,-79.70554,300.8,0.75,0.77,8/1/18,600,N,nominal,1.0NRT,285.2,0.9,N
33.01396,-79.8868,316.5,0.76,0.77,8/1/18,600,N,nominal,1.0NRT,282,3.9,N
19.42309,-92.07805,324.3,0.39,0.36,8/1/18,748,N,nominal,1.0NRT,264,2.1,N
19.40011,-92.04076,313.5,0.39,0.36,8/1/18,748,N,nominal,1.0NRT,279.4,1.3,N
19.3968,-92.04135,312,0.39,0.36,8/1/18,748,N,nominal,1.0NRT,279,1.3,N
19.39349,-92.04195,333.4,0.39,0.36,8/1/18,748,N,nominal,1.0NRT,280.4,7.7,N
19.39407,-92.04561,304.1,0.39,0.36,8/1/18,748,N,nominal,1.0NRT,278,4.2,N
19.36717,-92.00524,321.5,0.39,0.36,8/1/18,748,N,nominal,1.0NRT,280.7,1.9,N
20.58097,-101.1721,342.9,0.33,0.55,8/1/18,748,N,nominal,1.0NRT,289.1,4.2,N
20.5813,-101.17527,308.8,0.33,0.55,8/1/18,748,N,nominal,1.0NRT,288.2,4.8,N
20.58031,-101.16573,300.8,0.33,0.55,8/1/18,748,N,nominal,1.0NRT,286.2,0.8,N
20.57588,-101.17273,335,0.33,0.55,8/1/18,748,N,nominal,1.0NRT,286.5,2.7,N
20.57687,-101.18227,301.4,0.33,0.55,8/1/18,748,N,nominal,1.0NRT,288.9,1.2,N
20.52443,-100.92464,305.5,0.63,0.54,8/1/18,748,N,nominal,1.0NRT,287.3,1.4,N
20.52503,-100.92449,302.8,0.63,0.54,8/1/18,748,N,nominal,1.0NRT,287,2.4,N
20.38313,-99.69249,299,0.52,0.5,8/1/18,748,N,nominal,1.0NRT,285.5,2.1,N
19.2408,-92.25205,295.5,0.39,0.36,8/1/18,748,N,nominal,1.0NRT,263.7,0.5,N
19.74832,-98.6005,325.4,0.44,0.46,8/1/18,748,N,nominal,1.0NRT,281.1,3.4,N
19.74407,-98.6011,320.5,0.44,0.46,8/1/18,748,N,nominal,1.0NRT,279.3,3.1,N
19.34183,-96.70363,304,0.5,0.41,8/1/18,748,N,nominal,1.0NRT,278.7,1.4,N
