address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
98-867 Kaonohi St APT D,Aiea,HI,96701,174900,1222,3,2,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-867-Kaonohi-St-APT-D-Aiea-HI-96701/2091064080_zpid/
99-121 Ululaau Pl,AIEA,HI,96701,1010000,3761,4,4,4,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/99-121-Ululaau-Pl-Aiea-HI-96701/712732_zpid/
99-829 Halawa Heights Rd,AIEA,HI,96701,775000,1972,4,2,23,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/99-829-Halawa-Heights-Rd-Aiea-HI-96701/713643_zpid/
99-677 Kahilinai Pl,AIEA,HI,96701,1295000,2790,4,4,6,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/99-677-Kahilinai-Pl-Aiea-HI-96701/712926_zpid/
98-1641 Hoolauae St,AIEA,HI,96701,799900,1440,4,2,5,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-1641-Hoolauae-St-Aiea-HI-96701/710283_zpid/
99-530 Halawa Heights Rd,AIEA,HI,96701,735000,1000,3,2,6,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/99-530-Halawa-Heights-Rd-Aiea-HI-96701/715323_zpid/
98-1177 Kaamilo St,AIEA,HI,96701,799000,1568,3,2,199,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-1177-Kaamilo-St-Aiea-HI-96701/709000_zpid/
98-1739 Kaahumanu St APT B,Aiea,HI,96701,223000,1502,3,2.5,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-1739-Kaahumanu-St-APT-B-Aiea-HI-96701/2090542900_zpid/
99-1774 Aiea Heights Dr,AIEA,HI,96701,920000,2004,4,3,18,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/99-1774-Aiea-Heights-Dr-Aiea-HI-96701/712726_zpid/
99-1614 Analio Pl,AIEA,HI,96701,975000,2096,4,3,17,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/99-1614-Analio-Pl-Aiea-HI-96701/712718_zpid/
99-427 Palaialii Way,AIEA,HI,96701,899000,2739,4,3.5,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/99-427-Palaialii-Way-Aiea-HI-96701/712583_zpid/
98-1399 Onikiniki Way,Aiea,HI,96701,930000,1837,3,2,10,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-1399-Onikiniki-Way-Aiea-HI-96701/2088366407_zpid/
99-927 Aiea Heights Dr,AIEA,HI,96701,1039500,2728,3,3,11,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/99-927-Aiea-Heights-Dr-Aiea-HI-96701/712392_zpid/
98-577 Puaalii Pl,AIEA,HI,96701,1100000,1940,4,3,1,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-577-Puaalii-Pl-Aiea-HI-96701/709633_zpid/
99-241 Ulune St,AIEA,HI,96701,719000,2702,11,3,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/99-241-Ulune-St-Aiea-HI-96701/714174_zpid/
98-463 Pono St,AIEA,HI,96701,750000,1650,4,3,73,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-463-Pono-St-Aiea-HI-96701/711566_zpid/
98-1030 Moanalua Rd APT 5-308,AIEA,HI,96701,277500,778,2,2,267,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-1030-Moanalua-Rd-APT-5-308-Aiea-HI-96701/72197539_zpid/
99-1654 Analio Pl,AIEA,HI,96701,1100000,1852,4,2,79,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/99-1654-Analio-Pl-Aiea-HI-96701/712715_zpid/
98-592 Kilinoe St,Aiea,HI,96701,735000,1527,3,2,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/98-592-Kilinoe-St-Aiea-HI-96701/2088895847_zpid/
